"year","month","ko_jp_gol","ko_pr_gol","ko_ch_gol"
1993,1,2.8,1,1.46666666666667
1993,2,-1.55555555555556,2.8,-0.333333333333333
1993,3,5.2,0.747826086956522,6.4
1993,4,4,-0.0625,4.2
1993,5,3.5,4.43,2.86666666666667
1993,6,2.4,2.61666666666667,
1993,7,-4,1.2,2.33333333333333
1993,8,-1.48,3.83333333333333,0.55
1993,9,,0.5,
1993,10,0.566666666666667,1.1,-0.26
1993,11,1.725,1.0875,4
1993,12,-5,4,1
1994,1,6,1.48333333333333,3.5
1994,2,4,2.49444444444444,2.25
1994,3,3.175,1.58,3.06315789473684
1994,4,2.62857142857143,0.854166666666667,3.75
1994,5,-0.657142857142857,0.914285714285714,0.65
1994,6,1.4,1.7,0.3
1994,7,2.45,1.075,
1994,8,0,3.33846153846154,
1994,9,-5,1.98333333333333,6
1994,10,-4.375,3.23846153846154,0.78
1994,11,-1.5,2.87142857142857,0.66
1994,12,,3.08,5.06
1995,1,-1.1,1.3,6.4
1995,2,4,-0.5,3
1995,3,0.576923076923077,1.32222222222222,6.4
1995,4,0.58,2.56,3.38
1995,5,1.13333333333333,2.43636363636364,4.96666666666667
1995,6,3.875,0.625,4.75
1995,7,2.6,1.7875,3.5
1995,8,1.7,2.475,0.4
1995,9,1.80625,4.48333333333333,4
1995,10,-2,-2.25,
1995,11,0.1,1.45,
1995,12,5.8,0.05,4
1996,1,1.35,0.626666666666667,-2.5
1996,2,-0.813333333333333,2.97777777777778,2.66666666666667
1996,3,1.83333333333333,3.475,0.3
1996,4,7,-0.214285714285714,5
1996,5,0.8,0.93,2.1
1996,6,-5,1.075,-4.5
1996,7,-3,3.21538461538462,2.92857142857143
1996,8,-1.16666666666667,1.26363636363636,0.783333333333333
1996,9,2.8,-2.07272727272727,0.8
1996,10,-0.214285714285714,0.345454545454545,-2
1996,11,-1.35714285714286,-0.322222222222222,3.78
1996,12,-0.0333333333333334,-2,-0.8
1997,1,0.642857142857143,0.533333333333333,2.95
1997,2,-1.6,2.02352941176471,0.144
1997,3,-4.5,3.33333333333333,1.83846153846154
1997,4,4.36666666666667,2.08260869565217,0.688888888888889
1997,5,-6,3.05714285714286,2.65
1997,6,1.05,2.4,2.85
1997,7,0.0666666666666667,3.66666666666667,1.91428571428571
1997,8,-0.8,1.83333333333333,2.87142857142857
1997,9,,0.0166666666666668,-0.45
1997,10,4,2.39090909090909,1.44
1997,11,1.70555555555556,1.84285714285714,-3.55
1997,12,1.00769230769231,2.22727272727273,2.5
1998,1,-0.588235294117647,2.8,3.1
1998,2,-1.18,1.98333333333333,2.01
1998,3,2.05,2.02222222222222,0.522222222222222
1998,4,-1.75,3.5375,1.92380952380952
1998,5,-0.14,3.49285714285714,1.71428571428571
1998,6,1.53333333333333,-0.385,3.64545454545455
1998,7,0.266666666666667,0.975,6.66666666666667
1998,8,2.41428571428571,0.405882352941176,2.1875
1998,9,0.661538461538462,1.34,1.5
1998,10,1.0969696969697,1.04545454545455,2.23333333333333
1998,11,1.1,1.27222222222222,2.49583333333333
1998,12,1.375,0.31875,-5.02857142857143
1999,1,1.89444444444444,2.22,
1999,2,0.347058823529412,1.58181818181818,1.96
1999,3,0.346666666666667,1.7304347826087,1.7
1999,4,1.16666666666667,1.6,1.70736822116333e-16
1999,5,1.4,2.18461538461538,2.76363636363636
1999,6,2.13333333333333,0.552857142857143,2.46923076923077
1999,7,-0.415789473684211,-0.88125,3.6
1999,8,0.327586206896552,2.5,3.58333333333333
1999,9,0.2,2.2625,0.966666666666667
1999,10,0.3625,3.73,4.32222222222222
1999,11,-2.26666666666667,3.3,2.54285714285714
1999,12,0.78,1.56666666666667,2.425
2000,1,2.66666666666667,2.15238095238095,1.22083333333333
2000,2,-0.275,2.43636363636364,3.35333333333333
2000,3,2.16666666666667,1.82222222222222,2.98888888888889
2000,4,0.288888888888889,2.76363636363636,2.515
2000,5,1.05909090909091,3.30588235294118,2.10714285714286
2000,6,7.33333333333333,2.15714285714286,-1.18421052631579
2000,7,2,3.13793103448276,4.12857142857143
2000,8,1.33333333333333,2.45384615384615,3.64444444444444
2000,9,0.463636363636364,2.77906976744186,2.825
2000,10,0.554545454545455,1.65384615384615,0.922222222222222
2000,11,2.75555555555556,3.97272727272727,3.4
2000,12,-1.425,2.6,4.7
2001,1,-1.2,3.4,2.20769230769231
2001,2,1.52307692307692,2.41363636363636,3.125
2001,3,1.91428571428571,-1.475,4.13333333333333
2001,4,-1.20879120879121,4.67333333333333,2.8
2001,5,-1.27608695652174,2.275,1.55555555555556
2001,6,-1.86470588235294,2.09230769230769,0.821052631578947
2001,7,1.33114754098361,-1,0.857142857142857
2001,8,-2.825,2.25172413793103,-4.86666666666667
2001,9,-0.735714285714286,2.64736842105263,3.88
2001,10,-2.95161290322581,2.42666666666667,5.62777777777778
2001,11,4.6,1.51538461538462,2.875
2001,12,-2.48888888888889,2.28,2.93333333333333
2002,1,1.33333333333333,2.71111111111111,3
2002,2,-2,3.82857142857143,3.4
2002,3,2.37142857142857,1.45,2.5
2002,4,0.92,0.912,1.71111111111111
2002,5,-2,5.2,1.59411764705882
2002,6,-2,-2.60740740740741,-0.5025
2002,7,4.36666666666667,-0.296551724137931,2.43636363636364
2002,8,1.08,4.05652173913044,0.35
2002,9,0.442857142857143,2.48695652173913,1.29
2002,10,1.94,-0.65,-5.728125
2002,11,2.78,1.99230769230769,-0.02
2002,12,0,-0.0216216216216216,1.8625
2003,1,0.842857142857143,1.88013698630137,3.23333333333333
