"year","quarter","president","approval","kj_q","kp_q","kc_q","unemp_k_q","cpi_k_q","newgov"
1993,1,"Y Kim","71",4.23333333333333,1.70510869565217,4.48888888888889,2.93333333333333,4.67196333333333,1
1993,2,"Y Kim","83",-1.02666666666667,2.55,1.44166666666667,2.96666666666667,4.50594966666667,0
1993,3,"Y Kim","83",1.14583333333333,0.895833333333333,1.87,2.86666666666667,5.05770666666667,0
1993,4,"Y Kim","59",1.66666666666667,2.65925925925926,2.25,2.7,6.32164466666667,0
1994,1,"Y Kim","55",1.71547619047619,1.11615079365079,2.48771929824561,2.63333333333333,6.004781,0
1994,2,"Y Kim","55",1.28333333333333,2.03782051282051,0.3,2.4,6.710532,0
1994,3,"Y Kim","44",-3.625,2.69774114774115,2.48,2.33333333333333,6.11315133333333,0
1994,4,"Y Kim","36",1.45,1.29333333333333,4.82,2.16666666666667,5.076496,0
1995,1,"Y Kim","37",0.763418803418803,2.10619528619529,4.91555555555556,2.06666666666667,4.97665866666667,0
1995,2,"Y Kim","28",2.725,1.62916666666667,2.88333333333333,2.03333333333333,3.73644133333333,0
1995,3,"Y Kim","29",-0.03125,1.22777777777778,4,2.13333333333333,4.42300266666667,0
1995,4,"Y Kim","32",2.11222222222222,1.21814814814815,1.38888888888889,1.9,4.781712,0
1996,1,"Y Kim","41",3.21111111111111,1.39690476190476,2.46666666666667,2,4.61591366666667,0
1996,2,"Y Kim","41",-3.05555555555556,1.85134032634033,-0.262698412698413,2.06666666666667,5.29392733333333,0
1996,3,"Y Kim","34",0.409523809523809,-0.683164983164983,0.86,2.1,4.94710333333333,0
1996,4,"Y Kim","28",-0.33015873015873,0.18562091503268,0.764666666666667,2.43333333333333,4.82249766666667,0
1997,1,"Y Kim","14",-2.04444444444444,2.82436162870945,1.72578347578348,2.76666666666667,4.220577,0
1997,2,"Y Kim","7",0.105555555555556,2.63333333333333,2.5452380952381,2.4,3.88933433333333,0
1997,3,"Y Kim","8",2.85277777777778,1.41681096681097,-0.853333333333333,2.6,4.27285733333333,0
1997,4,"Y Kim","6",-0.253514328808446,2.33686868686869,2.53666666666667,4.06666666666667,8.13812666666667,0
